year,district,crime_category,primary_type,neighborhood,count
2003,17,Property Crimes,THEFT,Albany Park / Avondale,3548
2003,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,8126
2003,19,Property Crimes,THEFT,Lake View / Lincoln Park,4084
2003,20,Property Crimes,THEFT,Andersonville / Edgewater,2055
2003,21,Property Crimes,THEFT,Chinatown / Douglas,2928
2003,22,Violent Crimes,BATTERY,Auburn Gresham / Beverly,2841
2003,23,Property Crimes,THEFT,Boystown / Lake View,2662
2003,24,Property Crimes,THEFT,Edgewater / Rogers Park,3097
2003,25,Property Crimes,THEFT,Austin / Avondale,5699
2004,1,Property Crimes,THEFT,Douglas / Loop,6751
2004,2,Violent Crimes,BATTERY,Douglas / Englewood,3492
2004,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,5503
2004,4,Violent Crimes,BATTERY,Avalon Park / Burnside,5402
2004,5,Violent Crimes,BATTERY,Burnside / Pullman,5156
2004,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,5310
2004,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,7391
2004,8,Property Crimes,THEFT,Archer Heights / Ashburn,6353
2004,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,4318
2004,10,Violent Crimes,BATTERY,Little Village / Lower West Side,4182
2004,11,Drug Offenses,NARCOTICS,Austin / Garfield Park,9084
2004,12,Property Crimes,THEFT,East Village / Garfield Park,3650
2004,13,Property Crimes,THEFT,East Village / Garfield Park,3231
2004,14,Property Crimes,THEFT,Avondale / Bucktown,5003
2004,15,Drug Offenses,NARCOTICS,Austin,5718
2004,16,Property Crimes,THEFT,Dunning / Edison Park,3469
2004,17,Property Crimes,THEFT,Albany Park / Avondale,3339
2004,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,7406
2004,19,Property Crimes,THEFT,Lake View / Lincoln Park,3635
2004,20,Property Crimes,THEFT,Andersonville / Edgewater,2049
2004,21,Property Crimes,THEFT,Chinatown / Douglas,3002
2004,22,Property Crimes,THEFT,Auburn Gresham / Beverly,3064
2004,23,Property Crimes,THEFT,Boystown / Lake View,2805
2004,24,Property Crimes,THEFT,Edgewater / Rogers Park,3359
2004,25,Property Crimes,THEFT,Austin / Avondale,5217
2005,1,Property Crimes,THEFT,Douglas / Loop,6139
2005,2,Violent Crimes,BATTERY,Douglas / Englewood,3123
2005,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,5184
2005,4,Violent Crimes,BATTERY,Avalon Park / Burnside,5277
2005,5,Violent Crimes,BATTERY,Burnside / Pullman,4710
2005,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,5334
2005,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,6992
2005,8,Property Crimes,THEFT,Archer Heights / Ashburn,5824
2005,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,4380
2005,10,Violent Crimes,BATTERY,Little Village / Lower West Side,4079
2005,11,Drug Offenses,NARCOTICS,Austin / Garfield Park,9722
2005,12,Property Crimes,THEFT,East Village / Garfield Park,2829
2005,13,Property Crimes,THEFT,East Village / Garfield Park,2713
2005,14,Property Crimes,THEFT,Avondale / Bucktown,4143
2005,15,Drug Offenses,NARCOTICS,Austin,5251
2005,16,Property Crimes,THEFT,Dunning / Edison Park,3336
2005,17,Property Crimes,THEFT,Albany Park / Avondale,2996
2005,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,6509
2005,19,Property Crimes,THEFT,Lake View / Lincoln Park,3071
2005,20,Property Crimes,THEFT,Andersonville / Edgewater,2037
2005,21,Property Crimes,THEFT,Chinatown / Douglas,2780
2005,22,Violent Crimes,BATTERY,Auburn Gresham / Beverly,2784
2005,23,Property Crimes,THEFT,Boystown / Lake View,2429
2005,24,Property Crimes,THEFT,Edgewater / Rogers Park,3200
2005,25,Property Crimes,THEFT,Austin / Avondale,4613
2006,1,Property Crimes,THEFT,Douglas / Loop,6210
2006,2,Violent Crimes,BATTERY,Douglas / Englewood,2964
