day_of_week,district,neighborhood,specific_count,crime_category,total_count,crime_rate
Saturday,12,East Village / Garfield Park,1760,White Collar Crimes,43720,0.04025617566331199
Saturday,13,East Village / Garfield Park,435,White Collar Crimes,43720,0.00994967978042086
Saturday,14,Avondale / Bucktown,1683,White Collar Crimes,43720,0.03849496797804208
Saturday,15,Austin,975,White Collar Crimes,43720,0.022301006404391584
Saturday,16,Dunning / Edison Park,2240,White Collar Crimes,43720,0.05123513266239707
Saturday,17,Albany Park / Avondale,1280,White Collar Crimes,43720,0.0292772186642269
Saturday,18,Lincoln Park / Magnificent Mile,5385,White Collar Crimes,43720,0.12317017383348582
Saturday,19,Lake View / Lincoln Park,3149,White Collar Crimes,43720,0.07202653247941446
Saturday,20,Andersonville / Edgewater,1120,White Collar Crimes,43720,0.025617566331198535
Saturday,21,Chinatown / Douglas,485,White Collar Crimes,43720,0.011093321134492223
Saturday,22,Auburn Gresham / Beverly,1461,White Collar Crimes,43720,0.03341720036596523
Saturday,23,Boystown / Lake View,801,White Collar Crimes,43720,0.018321134492223237
Saturday,24,Edgewater / Rogers Park,1491,White Collar Crimes,43720,0.03410338517840805
Saturday,25,Austin / Avondale,2169,White Collar Crimes,43720,0.04961116193961573
Sunday,1,Douglas / Loop,2988,White Collar Crimes,34900,0.0856160458452722
Sunday,2,Douglas / Englewood,1088,White Collar Crimes,34900,0.031174785100286533
Sunday,3,Grand Crossing / Jackson Park,1183,White Collar Crimes,34900,0.033896848137535816
Sunday,4,Avalon Park / Burnside,1280,White Collar Crimes,34900,0.03667621776504298
Sunday,5,Burnside / Pullman,861,White Collar Crimes,34900,0.024670487106017193
Sunday,6,Auburn Gresham / Chatham,1556,White Collar Crimes,34900,0.044584527220630374
Sunday,7,Englewood / Grand Crossing,886,White Collar Crimes,34900,0.025386819484240687
Sunday,8,Archer Heights / Ashburn,2120,White Collar Crimes,34900,0.06074498567335244
Sunday,9,Armour Square / Bridgeport,1279,White Collar Crimes,34900,0.03664756446991404
Sunday,10,Little Village / Lower West Side,793,White Collar Crimes,34900,0.022722063037249284
Sunday,11,Austin / Garfield Park,1012,White Collar Crimes,34900,0.028997134670487108
Sunday,12,East Village / Garfield Park,1476,White Collar Crimes,34900,0.042292263610315184
Sunday,13,East Village / Garfield Park,313,White Collar Crimes,34900,0.008968481375358167
Sunday,14,Avondale / Bucktown,1462,White Collar Crimes,34900,0.04189111747851003
Sunday,15,Austin,699,White Collar Crimes,34900,0.02002865329512894
Sunday,16,Dunning / Edison Park,1921,White Collar Crimes,34900,0.05504297994269341
Sunday,17,Albany Park / Avondale,1068,White Collar Crimes,34900,0.030601719197707735
Sunday,18,Lincoln Park / Magnificent Mile,4256,White Collar Crimes,34900,0.12194842406876791
Sunday,19,Lake View / Lincoln Park,2612,White Collar Crimes,34900,0.07484240687679083
Sunday,20,Andersonville / Edgewater,982,White Collar Crimes,34900,0.02813753581661891
Sunday,21,Chinatown / Douglas,404,White Collar Crimes,34900,0.01157593123209169
Sunday,22,Auburn Gresham / Beverly,1146,White Collar Crimes,34900,0.032836676217765044
Sunday,23,Boystown / Lake View,693,White Collar Crimes,34900,0.0198567335243553
Sunday,24,Edgewater / Rogers Park,1172,White Collar Crimes,34900,0.03358166189111748
Sunday,25,Austin / Avondale,1650,White Collar Crimes,34900,0.04727793696275072
Thursday,1,Douglas / Loop,5087,White Collar Crimes,55709,0.09131379130840618
Thursday,2,Douglas / Englewood,1831,White Collar Crimes,55709,0.032867220736326266
Thursday,3,Grand Crossing / Jackson Park,1988,White Collar Crimes,55709,0.03568543682349351
Thursday,4,Avalon Park / Burnside,2436,White Collar Crimes,55709,0.04372722540343571
Thursday,5,Burnside / Pullman,1558,White Collar Crimes,55709,0.02796675582042399
Thursday,6,Auburn Gresham / Chatham,2993,White Collar Crimes,55709,0.053725609865551346
Thursday,7,Englewood / Grand Crossing,1723,White Collar Crimes,55709,0.0309285752750902
Thursday,8,Archer Heights / Ashburn,3737,White Collar Crimes,55709,0.06708072304295536
Thursday,9,Armour Square / Bridgeport,2007,White Collar Crimes,55709,0.03602649482130356
Thursday,10,Little Village / Lower West Side,1372,White Collar Crimes,55709,0.024627977526072986
Thursday,11,Austin / Garfield Park,2185,White Collar Crimes,55709,0.039221669748155594
Thursday,12,East Village / Garfield Park,2183,White Collar Crimes,55709,0.03918576890628085
Thursday,13,East Village / Garfield Park,488,White Collar Crimes,55709,0.008759805417437039
Thursday,14,Avondale / Bucktown,1990,White Collar Crimes,55709,0.03572133766536825
Thursday,15,Austin,1334,White Collar Crimes,55709,0.02394586153045289
Thursday,16,Dunning / Edison Park,3037,White Collar Crimes,55709,0.05451542838679567
Thursday,17,Albany Park / Avondale,1715,White Collar Crimes,55709,0.030784971907591233
Thursday,18,Lincoln Park / Magnificent Mile,4788,White Collar Crimes,55709,0.08594661544813226
Thursday,19,Lake View / Lincoln Park,3276,White Collar Crimes,55709,0.058805578990827334
Thursday,20,Andersonville / Edgewater,1426,White Collar Crimes,55709,0.02559730025669102
Thursday,21,Chinatown / Douglas,653,White Collar Crimes,55709,0.01172162487210325
Thursday,22,Auburn Gresham / Beverly,2104,White Collar Crimes,55709,0.037767685652228544
Thursday,23,Boystown / Lake View,1011,White Collar Crimes,55709,0.018147875567682062
Thursday,24,Edgewater / Rogers Park,1953,White Collar Crimes,55709,0.035057172090685526
Thursday,25,Austin / Avondale,2834,White Collar Crimes,55709,0.05087149293650936
Tuesday,1,Douglas / Loop,5227,White Collar Crimes,57027,0.09165833727883284
Tuesday,2,Douglas / Englewood,1817,White Collar Crimes,57027,0.03186210040857839
Tuesday,3,Grand Crossing / Jackson Park,2027,White Collar Crimes,57027,0.035544566608799344
Tuesday,4,Avalon Park / Burnside,2590,White Collar Crimes,57027,0.045417083136058356
Tuesday,5,Burnside / Pullman,1587,White Collar Crimes,57027,0.027828923141669737
Tuesday,6,Auburn Gresham / Chatham,3224,White Collar Crimes,57027,0.056534623950058746
Tuesday,7,Englewood / Grand Crossing,1701,White Collar Crimes,57027,0.02982797622178968
Tuesday,8,Archer Heights / Ashburn,3995,White Collar Crimes,57027,0.07005453557086994
Tuesday,9,Armour Square / Bridgeport,2119,White Collar Crimes,57027,0.03715783751556281
Tuesday,10,Little Village / Lower West Side,1427,White Collar Crimes,57027,0.02502323460816806
Tuesday,11,Austin / Garfield Park,2174,White Collar Crimes,57027,0.038122292948954
Tuesday,12,East Village / Garfield Park,2261,White Collar Crimes,57027,0.03964788608904554
Tuesday,13,East Village / Garfield Park,482,White Collar Crimes,57027,0.008452136707173794
Tuesday,14,Avondale / Bucktown,2013,White Collar Crimes,57027,0.03529906886211794
Tuesday,15,Austin,1388,White Collar Crimes,57027,0.02433934802812703
Tuesday,16,Dunning / Edison Park,3049,White Collar Crimes,57027,0.053465902116541286
Tuesday,17,Albany Park / Avondale,1801,White Collar Crimes,57027,0.03158153155522823
Tuesday,18,Lincoln Park / Magnificent Mile,4776,White Collar Crimes,57027,0.08374980272502498
Tuesday,19,Lake View / Lincoln Park,3247,White Collar Crimes,57027,0.05693794167674961
