month,district,neighborhood,specific_count,crime_category,total_count,crime_rate
July,24,Edgewater / Rogers Park,6616,Violent Crimes,226233,0.029244186303501257
July,25,Austin / Avondale,12424,Violent Crimes,226233,0.054916833530033196
June,1,Douglas / Loop,5103,Violent Crimes,221198,0.02306982884112876
June,2,Douglas / Englewood,9435,Violent Crimes,221198,0.042654092713315675
June,3,Grand Crossing / Jackson Park,13431,Violent Crimes,221198,0.060719355509543486
June,4,Avalon Park / Burnside,14340,Violent Crimes,221198,0.06482879592039711
June,5,Burnside / Pullman,12129,Violent Crimes,221198,0.05483322634020199
June,6,Auburn Gresham / Chatham,14514,Violent Crimes,221198,0.06561542147759021
June,7,Englewood / Grand Crossing,16727,Violent Crimes,221198,0.07562003273085652
June,8,Archer Heights / Ashburn,13862,Violent Crimes,221198,0.06266783605638387
June,9,Armour Square / Bridgeport,11413,Violent Crimes,221198,0.05159630738071773
June,10,Little Village / Lower West Side,11158,Violent Crimes,221198,0.05044349406414163
June,11,Austin / Garfield Park,15327,Violent Crimes,221198,0.06929086158102696
June,12,East Village / Garfield Park,6506,Violent Crimes,221198,0.029412562500565103
June,13,East Village / Garfield Park,2676,Violent Crimes,221198,0.012097758569245652
June,14,Avondale / Bucktown,7579,Violent Crimes,221198,0.03426342010325591
June,15,Austin,10539,Violent Crimes,221198,0.047645096248609846
June,16,Dunning / Edison Park,5579,Violent Crimes,221198,0.025221747032070814
June,17,Albany Park / Avondale,5225,Violent Crimes,221198,0.023621370898471054
June,18,Lincoln Park / Magnificent Mile,6384,Violent Crimes,221198,0.028861020443222814
June,19,Lake View / Lincoln Park,5332,Violent Crimes,221198,0.024105100407779457
June,20,Andersonville / Edgewater,3442,Violent Crimes,221198,0.015560719355509544
June,21,Chinatown / Douglas,2705,Violent Crimes,221198,0.012228862828777836
June,22,Auburn Gresham / Beverly,7189,Violent Crimes,221198,0.032500293854374813
June,23,Boystown / Lake View,2260,Violent Crimes,221198,0.010217090570439154
June,24,Edgewater / Rogers Park,6101,Violent Crimes,221198,0.027581623703650124
June,25,Austin / Avondale,12242,Violent Crimes,221198,0.05534408086872395
March,1,Douglas / Loop,4849,Violent Crimes,197655,0.02453264526574081
March,2,Douglas / Englewood,8327,Violent Crimes,197655,0.0421289620803926
March,3,Grand Crossing / Jackson Park,12054,Violent Crimes,197655,0.060985049707824236
March,4,Avalon Park / Burnside,13079,Violent Crimes,197655,0.06617085325440793
March,5,Burnside / Pullman,10820,Violent Crimes,197655,0.054741848169790795
March,6,Auburn Gresham / Chatham,13594,Violent Crimes,197655,0.06877640332903291
March,7,Englewood / Grand Crossing,14389,Violent Crimes,197655,0.07279856315296855
March,8,Archer Heights / Ashburn,12622,Violent Crimes,197655,0.06385874377071159
March,9,Armour Square / Bridgeport,9362,Violent Crimes,197655,0.04736535883230882
March,10,Little Village / Lower West Side,9819,Violent Crimes,197655,0.04967746831600516
March,11,Austin / Garfield Park,13499,Violent Crimes,197655,0.06829576787837394
March,12,East Village / Garfield Park,6213,Violent Crimes,197655,0.03143355847309706
March,13,East Village / Garfield Park,2495,Violent Crimes,197655,0.0126230047304647
March,14,Avondale / Bucktown,6378,Violent Crimes,197655,0.03226834636108371
March,15,Austin,9644,Violent Crimes,197655,0.04879208722268599
March,16,Dunning / Edison Park,4976,Violent Crimes,197655,0.025175178973463865
March,17,Albany Park / Avondale,4801,Violent Crimes,197655,0.024289797880144695
March,18,Lincoln Park / Magnificent Mile,5769,Violent Crimes,197655,0.029187220156333005
March,19,Lake View / Lincoln Park,4326,Violent Crimes,197655,0.021886620626849814
March,20,Andersonville / Edgewater,3229,Violent Crimes,197655,0.016336546001871947
March,21,Chinatown / Douglas,2671,Violent Crimes,197655,0.013513445144317118
March,22,Auburn Gresham / Beverly,6527,Violent Crimes,197655,0.03302218512053831
March,23,Boystown / Lake View,1779,Violent Crimes,197655,0.00900053122865599
March,24,Edgewater / Rogers Park,5527,Violent Crimes,197655,0.02796286458728593
March,25,Austin / Avondale,10906,Violent Crimes,197655,0.0551769497356505
May,1,Douglas / Loop,5269,Violent Crimes,228788,0.02303005402381244
May,2,Douglas / Englewood,9633,Violent Crimes,228788,0.042104481004248476
May,3,Grand Crossing / Jackson Park,13872,Violent Crimes,228788,0.06063255065825131
May,4,Avalon Park / Burnside,15120,Violent Crimes,228788,0.06608738220536042
May,5,Burnside / Pullman,12721,Violent Crimes,228788,0.05560169239645436
May,6,Auburn Gresham / Chatham,15316,Violent Crimes,228788,0.06694407049320769
May,7,Englewood / Grand Crossing,17153,Violent Crimes,228788,0.07497333776247006
May,8,Archer Heights / Ashburn,14779,Violent Crimes,228788,0.06459691941885064
May,9,Armour Square / Bridgeport,11463,Violent Crimes,228788,0.05010315226323059
