dayofweek,beat,district,primary_type,count,average
Friday,0124,01,WEAPONS VIOLATION,10,0.0011690437222352116
Friday,0131,01,ARSON,1,0.00011690437222352116
Friday,0131,01,ASSAULT,261,0.030512041150339023
Friday,0131,01,BATTERY,472,0.055178863689501985
Friday,0131,01,BURGLARY,98,0.011456628477905073
Friday,0131,01,CONCEALED CARRY LICENSE VIOLATION,1,0.00011690437222352116
Friday,0131,01,CRIM SEXUAL ASSAULT,10,0.0011690437222352116
Friday,0131,01,CRIMINAL DAMAGE,306,0.03577273790039748
Friday,0131,01,CRIMINAL SEXUAL ASSAULT,6,0.0007014262333411269
Friday,0131,01,CRIMINAL TRESPASS,343,0.040098199672667756
Friday,0131,01,DECEPTIVE PRACTICE,402,0.0469955576338555
Friday,0131,01,GAMBLING,3,0.00035071311667056346
Friday,0131,01,HOMICIDE,1,0.00011690437222352116
Friday,0131,01,INTERFERENCE WITH PUBLIC OFFICER,13,0.001519756838905775
Friday,0131,01,INTIMIDATION,4,0.00046761748889408465
Friday,0131,01,KIDNAPPING,4,0.00046761748889408465
Friday,0131,01,LIQUOR LAW VIOLATION,6,0.0007014262333411269
Friday,0131,01,MOTOR VEHICLE THEFT,256,0.029927519289221417
Friday,0131,01,NARCOTICS,115,0.013444002805704933
Friday,0131,01,NON-CRIMINAL,1,0.00011690437222352116
Friday,0131,01,OFFENSE INVOLVING CHILDREN,24,0.0028057049333645077
Friday,0131,01,OTHER OFFENSE,236,0.027589431844750992
Friday,0131,01,PROSTITUTION,3,0.00035071311667056346
Friday,0131,01,PUBLIC INDECENCY,1,0.00011690437222352116
Friday,0131,01,PUBLIC PEACE VIOLATION,27,0.0031564180500350714
Friday,0131,01,ROBBERY,145,0.01695113397241057
Friday,0131,01,SEX OFFENSE,14,0.0016366612111292963
Friday,0131,01,STALKING,2,0.00023380874444704232
Friday,0131,01,THEFT,1737,0.20306289455225626
Friday,0131,01,WEAPONS VIOLATION,39,0.004559270516717325
Friday,0132,01,ARSON,2,0.00023380874444704232
Friday,0132,01,ASSAULT,269,0.03144727612812719
Friday,0132,01,BATTERY,593,0.06932429272854805
Friday,0132,01,BURGLARY,147,0.01718494271685761
Friday,0132,01,CRIM SEXUAL ASSAULT,12,0.0014028524666822538
Friday,0132,01,CRIMINAL DAMAGE,462,0.054009819967266774
Friday,0132,01,CRIMINAL SEXUAL ASSAULT,1,0.00011690437222352116
Friday,0132,01,CRIMINAL TRESPASS,360,0.04208557400046762
Friday,0132,01,DECEPTIVE PRACTICE,511,0.05973813420621931
Friday,0132,01,GAMBLING,1,0.00011690437222352116
Friday,0132,01,HOMICIDE,1,0.00011690437222352116
Friday,0132,01,INTERFERENCE WITH PUBLIC OFFICER,5,0.0005845218611176058
Friday,0132,01,INTIMIDATION,3,0.00035071311667056346
Friday,0132,01,KIDNAPPING,4,0.00046761748889408465
Friday,0132,01,LIQUOR LAW VIOLATION,11,0.0012859480944587328
Friday,0132,01,MOTOR VEHICLE THEFT,217,0.02536824877250409
Friday,0132,01,NARCOTICS,218,0.025485153144727612
Friday,0132,01,OFFENSE INVOLVING CHILDREN,29,0.0033902267944821134
Friday,0132,01,OTHER NARCOTIC VIOLATION,1,0.00011690437222352116
Friday,0132,01,OTHER OFFENSE,313,0.036591068505962124
Friday,0132,01,PROSTITUTION,21,0.0024549918166939444
Friday,0132,01,PUBLIC PEACE VIOLATION,35,0.004091653027823241
Friday,0132,01,ROBBERY,143,0.016717325227963525
Friday,0132,01,SEX OFFENSE,40,0.004676174888940846
Friday,0132,01,STALKING,4,0.00046761748889408465
Friday,0132,01,THEFT,1980,0.23147065700257188
Friday,0132,01,WEAPONS VIOLATION,24,0.0028057049333645077
Friday,0133,01,ARSON,3,0.00035071311667056346
Friday,0133,01,ASSAULT,172,0.02010755202244564
Friday,0133,01,BATTERY,463,0.0541267243394903
Friday,0133,01,BURGLARY,74,0.008650923544540565
Friday,0133,01,CRIM SEXUAL ASSAULT,10,0.0011690437222352116
Friday,0133,01,CRIMINAL DAMAGE,273,0.031914893617021274
Friday,0133,01,CRIMINAL SEXUAL ASSAULT,4,0.00046761748889408465
Friday,0133,01,CRIMINAL TRESPASS,159,0.018587795183539865
Friday,0133,01,DECEPTIVE PRACTICE,178,0.020808978255786766
Friday,0133,01,HOMICIDE,1,0.00011690437222352116
Friday,0133,01,INTERFERENCE WITH PUBLIC OFFICER,5,0.0005845218611176058
Friday,0133,01,INTIMIDATION,5,0.0005845218611176058
Friday,0133,01,KIDNAPPING,1,0.00011690437222352116
Friday,0133,01,LIQUOR LAW VIOLATION,6,0.0007014262333411269
Friday,0133,01,MOTOR VEHICLE THEFT,192,0.02244563946691606
Friday,0133,01,NARCOTICS,61,0.007131166705634791
Friday,0133,01,OBSCENITY,1,0.00011690437222352116
Friday,0133,01,OFFENSE INVOLVING CHILDREN,18,0.002104278700023381
Friday,0133,01,OTHER OFFENSE,130,0.015197568389057751
Friday,0133,01,PROSTITUTION,4,0.00046761748889408465
Friday,0133,01,PUBLIC PEACE VIOLATION,22,0.0025718961889174656
Friday,0133,01,ROBBERY,65,0.007598784194528876
Friday,0133,01,SEX OFFENSE,11,0.0012859480944587328
Friday,0133,01,THEFT,959,0.11211129296235679
Friday,0133,01,WEAPONS VIOLATION,31,0.003624035538929156
Friday,0211,02,ARSON,4,0.00046761748889408465
Friday,0211,02,ASSAULT,279,0.0326163198503624
Friday,0211,02,BATTERY,803,0.09387421089548749
Friday,0211,02,BURGLARY,118,0.013794715922375496
Friday,0211,02,CRIM SEXUAL ASSAULT,14,0.0016366612111292963
Friday,0211,02,CRIMINAL DAMAGE,345,0.040332008417114804
Friday,0211,02,CRIMINAL SEXUAL ASSAULT,4,0.00046761748889408465
Friday,0211,02,CRIMINAL TRESPASS,276,0.03226560673369184
Friday,0211,02,DECEPTIVE PRACTICE,174,0.02034136076689268
Friday,0211,02,GAMBLING,12,0.0014028524666822538
Friday,0211,02,HOMICIDE,8,0.0009352349777881693
Friday,0211,02,INTERFERENCE WITH PUBLIC OFFICER,8,0.0009352349777881693
Friday,0211,02,INTIMIDATION,4,0.00046761748889408465
Friday,0211,02,KIDNAPPING,4,0.00046761748889408465
Friday,0211,02,LIQUOR LAW VIOLATION,3,0.00035071311667056346
