year,district,primary_type,count
2001,25,OTHER NARCOTIC VIOLATION,1
2001,25,OTHER OFFENSE,1736
2001,25,PROSTITUTION,560
2001,25,PUBLIC PEACE VIOLATION,178
2001,25,RITUALISM,1
2001,25,ROBBERY,1294
2001,25,SEX OFFENSE,117
2001,25,STALKING,9
2001,25,THEFT,5121
2001,25,WEAPONS VIOLATION,235
2002,01,ARSON,7
2002,01,ASSAULT,589
2002,01,BATTERY,1004
2002,01,BURGLARY,309
2002,01,CRIM SEXUAL ASSAULT,17
2002,01,CRIMINAL DAMAGE,642
2002,01,CRIMINAL SEXUAL ASSAULT,1
2002,01,CRIMINAL TRESPASS,900
2002,01,DECEPTIVE PRACTICE,1178
2002,01,GAMBLING,6
2002,01,HOMICIDE,3
2002,01,INTERFERENCE WITH PUBLIC OFFICER,13
2002,01,INTIMIDATION,19
2002,01,KIDNAPPING,9
2002,01,LIQUOR LAW VIOLATION,34
2002,01,MOTOR VEHICLE THEFT,337
2002,01,NARCOTICS,386
2002,01,OFFENSE INVOLVING CHILDREN,16
2002,01,OTHER OFFENSE,982
2002,01,PROSTITUTION,14
2002,01,PUBLIC PEACE VIOLATION,169
2002,01,ROBBERY,272
2002,01,SEX OFFENSE,60
2002,01,STALKING,11
2002,01,THEFT,6788
2002,01,WEAPONS VIOLATION,37
2002,02,ARSON,30
2002,02,ASSAULT,1283
2002,02,BATTERY,4561
2002,02,BURGLARY,839
2002,02,CRIM SEXUAL ASSAULT,86
2002,02,CRIMINAL DAMAGE,1674
2002,02,CRIMINAL SEXUAL ASSAULT,3
2002,02,CRIMINAL TRESPASS,1148
2002,02,DECEPTIVE PRACTICE,225
2002,02,GAMBLING,75
2002,02,HOMICIDE,20
2002,02,INTERFERENCE WITH PUBLIC OFFICER,6
2002,02,INTIMIDATION,8
2002,02,KIDNAPPING,13
2002,02,LIQUOR LAW VIOLATION,13
2002,02,MOTOR VEHICLE THEFT,693
2002,02,NARCOTICS,3044
2002,02,OBSCENITY,1
2002,02,OFFENSE INVOLVING CHILDREN,64
2002,02,OTHER OFFENSE,1004
2002,02,PROSTITUTION,239
