dayofweek,district,primary_type,count,average
Friday,12,BURGLARY,1934,0.2260930558802899
Friday,12,CONCEALED CARRY LICENSE VIOLATION,16,0.0018704699555763386
Friday,12,CRIM SEXUAL ASSAULT,129,0.015080664016834229
Friday,12,CRIMINAL DAMAGE,4975,0.5815992518120178
Friday,12,CRIMINAL SEXUAL ASSAULT,67,0.007832592938975917
Friday,12,CRIMINAL TRESPASS,1145,0.13385550619593173
Friday,12,DECEPTIVE PRACTICE,2490,0.29109188683656767
Friday,12,GAMBLING,25,0.002922609305588029
Friday,12,HOMICIDE,51,0.005962122983399579
Friday,12,HUMAN TRAFFICKING,1,0.00011690437222352116
Friday,12,INTERFERENCE WITH PUBLIC OFFICER,55,0.006429740472293664
Friday,12,INTIMIDATION,28,0.0032733224222585926
Friday,12,KIDNAPPING,29,0.0033902267944821134
Friday,12,LIQUOR LAW VIOLATION,147,0.01718494271685761
Friday,12,MOTOR VEHICLE THEFT,2750,0.3214870236146832
Friday,12,NARCOTICS,2206,0.2578910451250877
Friday,12,NON-CRIMINAL,4,0.00046761748889408465
Friday,12,OBSCENITY,6,0.0007014262333411269
Friday,12,OFFENSE INVOLVING CHILDREN,284,0.03320084171148001
Friday,12,OTHER NARCOTIC VIOLATION,1,0.00011690437222352116
Friday,12,OTHER OFFENSE,2055,0.24023848491933597
Friday,12,PROSTITUTION,301,0.03518821603927987
Friday,12,PUBLIC INDECENCY,1,0.00011690437222352116
Friday,12,PUBLIC PEACE VIOLATION,410,0.04793079261164367
Friday,12,ROBBERY,1457,0.17032967032967034
Friday,12,SEX OFFENSE,183,0.02139350011690437
Friday,12,STALKING,39,0.004559270516717325
Friday,12,THEFT,13153,1.5376432078559739
Friday,12,WEAPONS VIOLATION,428,0.050035071311667054
Friday,14,ARSON,76,0.008884732288987608
Friday,14,ASSAULT,2476,0.2894552256254384
Friday,14,BATTERY,6312,0.7379003974748656
Friday,14,BURGLARY,3588,0.4194528875379939
Friday,14,CONCEALED CARRY LICENSE VIOLATION,1,0.00011690437222352116
Friday,14,CRIM SEXUAL ASSAULT,135,0.015782090250175358
Friday,14,CRIMINAL DAMAGE,5856,0.6845920037409399
Friday,14,CRIMINAL SEXUAL ASSAULT,31,0.003624035538929156
Friday,14,CRIMINAL TRESPASS,899,0.10509703062894553
Friday,14,DECEPTIVE PRACTICE,2113,0.2470189385083002
Friday,14,GAMBLING,19,0.002221183072246902
Friday,14,HOMICIDE,47,0.005494505494505495
Friday,14,INTERFERENCE WITH PUBLIC OFFICER,72,0.008417114800093524
Friday,14,INTIMIDATION,28,0.0032733224222585926
Friday,14,KIDNAPPING,45,0.0052606967500584524
Friday,14,LIQUOR LAW VIOLATION,230,0.026888005611409867
