hour,district,primary_type,count,average
0,09,PUBLIC INDECENCY,1,0.041666666666666664
0,09,PUBLIC PEACE VIOLATION,94,3.9166666666666665
0,09,ROBBERY,701,29.208333333333332
0,09,SEX OFFENSE,259,10.791666666666666
0,09,STALKING,14,0.5833333333333334
0,09,THEFT,3816,159.0
0,09,WEAPONS VIOLATION,529,22.041666666666668
0,10,ARSON,97,4.041666666666667
0,10,ASSAULT,848,35.333333333333336
0,10,BATTERY,3958,164.91666666666666
0,10,BURGLARY,723,30.125
0,10,CONCEALED CARRY LICENSE VIOLATION,5,0.20833333333333334
0,10,CRIM SEXUAL ASSAULT,228,9.5
0,10,CRIMINAL DAMAGE,2577,107.375
0,10,CRIMINAL SEXUAL ASSAULT,76,3.1666666666666665
0,10,CRIMINAL TRESPASS,209,8.708333333333334
0,10,DECEPTIVE PRACTICE,1116,46.5
0,10,GAMBLING,22,0.9166666666666666
0,10,HOMICIDE,67,2.7916666666666665
0,10,HUMAN TRAFFICKING,2,0.08333333333333333
0,10,INTERFERENCE WITH PUBLIC OFFICER,55,2.2916666666666665
0,10,INTIMIDATION,8,0.3333333333333333
0,10,KIDNAPPING,6,0.25
0,10,LIQUOR LAW VIOLATION,80,3.3333333333333335
0,10,MOTOR VEHICLE THEFT,1076,44.833333333333336
0,10,NARCOTICS,1615,67.29166666666667
0,10,OBSCENITY,2,0.08333333333333333
0,10,OFFENSE INVOLVING CHILDREN,763,31.791666666666668
0,10,OTHER OFFENSE,1065,44.375
0,10,PROSTITUTION,71,2.9583333333333335
0,10,PUBLIC PEACE VIOLATION,169,7.041666666666667
0,10,ROBBERY,747,31.125
0,10,SEX OFFENSE,299,12.458333333333334
0,10,STALKING,14,0.5833333333333334
0,10,THEFT,2973,123.875
0,10,WEAPONS VIOLATION,575,23.958333333333332
0,11,ARSON,63,2.625
0,11,ASSAULT,1067,44.458333333333336
0,11,BATTERY,5257,219.04166666666666
0,11,BURGLARY,826,34.416666666666664
0,11,CONCEALED CARRY LICENSE VIOLATION,3,0.125
0,11,CRIM SEXUAL ASSAULT,212,8.833333333333334
0,11,CRIMINAL DAMAGE,2815,117.29166666666667
0,11,CRIMINAL SEXUAL ASSAULT,107,4.458333333333333
0,11,CRIMINAL TRESPASS,314,13.083333333333334
0,11,DECEPTIVE PRACTICE,1320,55.0
0,11,GAMBLING,49,2.0416666666666665
0,11,HOMICIDE,74,3.0833333333333335
0,11,HUMAN TRAFFICKING,1,0.041666666666666664
0,11,INTERFERENCE WITH PUBLIC OFFICER,109,4.541666666666667
0,11,INTIMIDATION,5,0.20833333333333334
0,11,KIDNAPPING,8,0.3333333333333333
0,11,LIQUOR LAW VIOLATION,32,1.3333333333333333
0,11,MOTOR VEHICLE THEFT,1365,56.875
0,11,NARCOTICS,2899,120.79166666666667
0,11,OBSCENITY,2,0.08333333333333333
0,11,OFFENSE INVOLVING CHILDREN,580,24.166666666666668
0,11,OTHER OFFENSE,1306,54.416666666666664
0,11,PROSTITUTION,318,13.25
0,11,PUBLIC PEACE VIOLATION,112,4.666666666666667
0,11,ROBBERY,1161,48.375
0,11,SEX OFFENSE,190,7.916666666666667
0,11,STALKING,16,0.6666666666666666
0,11,THEFT,3406,141.91666666666666
0,11,WEAPONS VIOLATION,663,27.625
0,12,ARSON,24,1.0
0,12,ASSAULT,644,26.833333333333332
0,12,BATTERY,2178,90.75
0,12,BURGLARY,544,22.666666666666668
0,12,CONCEALED CARRY LICENSE VIOLATION,3,0.125
0,12,CRIM SEXUAL ASSAULT,109,4.541666666666667
0,12,CRIMINAL DAMAGE,2257,94.04166666666667
0,12,CRIMINAL SEXUAL ASSAULT,103,4.291666666666667
0,12,CRIMINAL TRESPASS,325,13.541666666666666
0,12,DECEPTIVE PRACTICE,1854,77.25
0,12,GAMBLING,4,0.16666666666666666
0,12,HOMICIDE,34,1.4166666666666667
0,12,HUMAN TRAFFICKING,1,0.041666666666666664
0,12,INTERFERENCE WITH PUBLIC OFFICER,28,1.1666666666666667
0,12,INTIMIDATION,6,0.25
0,12,KIDNAPPING,1,0.041666666666666664
0,12,LIQUOR LAW VIOLATION,52,2.1666666666666665
0,12,MOTOR VEHICLE THEFT,957,39.875
0,12,NARCOTICS,577,24.041666666666668
0,12,OBSCENITY,8,0.3333333333333333
0,12,OFFENSE INVOLVING CHILDREN,313,13.041666666666666
0,12,OTHER OFFENSE,876,36.5
0,12,PROSTITUTION,88,3.6666666666666665
0,12,PUBLIC PEACE VIOLATION,98,4.083333333333333
0,12,ROBBERY,603,25.125
0,12,SEX OFFENSE,171,7.125
0,12,STALKING,16,0.6666666666666666
0,12,THEFT,4471,186.29166666666666
0,12,WEAPONS VIOLATION,203,8.458333333333334
0,14,ARSON,51,2.125
0,14,ASSAULT,645,26.875
0,14,BATTERY,2559,106.625
0,14,BURGLARY,930,38.75
0,14,CONCEALED CARRY LICENSE VIOLATION,1,0.041666666666666664
0,14,CRIM SEXUAL ASSAULT,125,5.208333333333333
0,14,CRIMINAL DAMAGE,3105,129.375
0,14,CRIMINAL SEXUAL ASSAULT,58,2.4166666666666665
0,14,CRIMINAL TRESPASS,295,12.291666666666666
0,14,DECEPTIVE PRACTICE,1669,69.54166666666667
0,14,HOMICIDE,21,0.875
0,14,INTERFERENCE WITH PUBLIC OFFICER,27,1.125
